"ProcessName","ProcessId","LocalAddress","LocalPort","RemoteAddress","RemotePort","State"
"chrome","14308","2806:230:300e:ca4e:8113:7d60:652:3220","50304","2607:f8b0:4023:1000::bc","5228","Established"
"chrome","14308","0.0.0.0","50322","0.0.0.0","0","Bound"
"chrome","14308","192.168.1.10","50322","192.168.1.11","8009","Established"
"chrome","14308","::","50304","::","0","Bound"
"Idle","0","192.168.1.10","50615","38.106.231.208","443","TimeWait"
"Idle","0","192.168.1.10","50616","38.106.231.208","443","TimeWait"
"Idle","0","192.168.1.10","50609","20.42.73.31","443","TimeWait"
"Idle","0","192.168.1.10","50612","20.42.73.24","443","TimeWait"
"Idle","0","192.168.1.10","50613","38.106.231.208","443","TimeWait"
"Idle","0","192.168.1.10","50614","38.106.231.208","443","TimeWait"
"Idle","0","2806:230:300e:ca4e:8113:7d60:652:3220","50572","2600:1900:4110:86f::","80","TimeWait"
"lsass","1044","::","49664","::","0","Listen"
"lsass","1044","0.0.0.0","49664","0.0.0.0","0","Listen"
"MfeAVSvc","8680","127.0.0.1","49707","127.0.0.1","49706","Established"
"MfeAVSvc","8680","0.0.0.0","49699","0.0.0.0","0","Bound"
"MfeAVSvc","8680","0.0.0.0","49707","0.0.0.0","0","Bound"
"MfeAVSvc","8680","0.0.0.0","49702","0.0.0.0","0","Bound"
"MfeAVSvc","8680","127.0.0.1","49699","127.0.0.1","49698","Established"
"MfeAVSvc","8680","127.0.0.1","49698","127.0.0.1","49699","Established"
"MfeAVSvc","8680","0.0.0.0","49710","0.0.0.0","0","Bound"
"MfeAVSvc","8680","127.0.0.1","49706","127.0.0.1","49707","Established"
"MMSSHOST","6784","0.0.0.0","6646","0.0.0.0","0","Listen"
"ModuleCoreService","6852","0.0.0.0","50596","0.0.0.0","0","Bound"
"ModuleCoreService","6852","192.168.1.10","50596","44.237.149.221","443","CloseWait"
"msedge","9848","192.168.1.10","49754","20.169.174.231","443","Established"
"msedge","9848","0.0.0.0","50226","0.0.0.0","0","Bound"
"msedge","9848","0.0.0.0","49754","0.0.0.0","0","Bound"
"msedge","9848","192.168.1.10","50226","192.168.1.11","8009","Established"
"OneDrive","6528","2806:230:300e:ca4e:8113:7d60:652:3220","49932","2603:1030:40c:e::","443","Established"
"OneDrive","6528","::","49932","::","0","Bound"
"services","728","0.0.0.0","49673","0.0.0.0","0","Listen"
"services","728","::","49673","::","0","Listen"
"spoolsv","3836","0.0.0.0","49670","0.0.0.0","0","Listen"
"spoolsv","3836","::","49670","::","0","Listen"
"steam","11320","127.0.0.1","49947","127.0.0.1","50004","Established"
"steam","11320","127.0.0.1","49947","0.0.0.0","0","Listen"
"steam","11320","127.0.0.1","49956","127.0.0.1","50003","Established"
"steam","11320","127.0.0.1","49956","0.0.0.0","0","Listen"
"steam","11320","0.0.0.0","27036","0.0.0.0","0","Listen"
"steam","11320","127.0.0.1","27060","0.0.0.0","0","Listen"
"steam","11320","192.168.1.10","49968","205.196.6.133","443","Established"
"steam","11320","0.0.0.0","49968","0.0.0.0","0","Bound"
"steamwebhelper","14320","127.0.0.1","50004","127.0.0.1","49947","Established"
"steamwebhelper","14320","0.0.0.0","50003","0.0.0.0","0","Bound"
"steamwebhelper","14320","127.0.0.1","50003","127.0.0.1","49956","Established"
"steamwebhelper","14320","0.0.0.0","50004","0.0.0.0","0","Bound"
"svchost","2092","0.0.0.0","49667","0.0.0.0","0","Listen"
"svchost","2380","0.0.0.0","49666","0.0.0.0","0","Listen"
"svchost","6188","0.0.0.0","5040","0.0.0.0","0","Listen"
"svchost","1300","0.0.0.0","135","0.0.0.0","0","Listen"
"svchost","2092","::","49667","::","0","Listen"
"svchost","1300","::","135","::","0","Listen"
"svchost","5732","::","7680","::","0","Listen"
"svchost","4112","2806:230:300e:ca4e:8113:7d60:652:3220","49688","2603:1030:40c:e::2","443","Established"
"svchost","4112","::","49688","::","0","Bound"
"svchost","2380","::","49666","::","0","Listen"
"System","4","192.168.1.10","139","0.0.0.0","0","Listen"
"System","4","::","445","::","0","Listen"
"wininit","716","::","49665","::","0","Listen"
"wininit","716","0.0.0.0","49665","0.0.0.0","0","Listen"
